Address,Municipality,Sale price,merged
168 Hood Ave,Syracuse,110000,"168 Hood Ave, Syracuse, New York"
422 Ostrander Ave,Syracuse,151,"422 Ostrander Ave, Syracuse, New York"
221-23 Mclennan Ave,Syracuse,70000,"221-23 Mclennan Ave, Syracuse, New York"
127 Josephine St,Syracuse,60000,"127 Josephine St, Syracuse, New York"
206 Elk St,Syracuse,16000,"206 Elk St, Syracuse, New York"
429 Buckingham Ave,Syracuse,0,"429 Buckingham Ave, Syracuse, New York"
208-10 Markland Ave,Syracuse,140000,"208-10 Markland Ave, Syracuse, New York"
504 Arthur St,Syracuse,70000,"504 Arthur St, Syracuse, New York"
152 Lakeview Ave,Syracuse,45000,"152 Lakeview Ave, Syracuse, New York"
2412 Fayette St,Syracuse,40000,"2412 Fayette St, Syracuse, New York"
349 Elm St,Syracuse,0,"349 Elm St, Syracuse, New York"
413 Bear St,Syracuse,0,"413 Bear St, Syracuse, New York"
104 Commonwealth Ave,Syracuse,38000,"104 Commonwealth Ave, Syracuse, New York"
107 Edgemont Dr,Syracuse,1,"107 Edgemont Dr, Syracuse, New York"
1903 Geddes St,Syracuse,169900,"1903 Geddes St, Syracuse, New York"
312-14 Marlborough Rd,Syracuse,137000,"312-14 Marlborough Rd, Syracuse, New York"
301-03 Kramer Dr & Riverdale Dr,Syracuse,135000,"301-03 Kramer Dr & Riverdale Dr, Syracuse, New York"
220 Huntley St,Syracuse,120000,"220 Huntley St, Syracuse, New York"
524 Ostrander Ave W & Wiman A,Syracuse,92000,"524 Ostrander Ave W & Wiman A, Syracuse, New York"
243-45 Webster Ave,Syracuse,75500,"243-45 Webster Ave, Syracuse, New York"
410 Fitch St,Syracuse,9000,"410 Fitch St, Syracuse, New York"
122 Ardmore Pl,Syracuse,0,"122 Ardmore Pl, Syracuse, New York"
123 Academy Pl,Syracuse,0,"123 Academy Pl, Syracuse, New York"
403 Scott Ave,Syracuse,0,"403 Scott Ave, Syracuse, New York"
232 Woodruff Ave,Syracuse,0,"232 Woodruff Ave, Syracuse, New York"
108 Swansea Dr,Syracuse,0,"108 Swansea Dr, Syracuse, New York"
155 Clifton Pl,Syracuse,0,"155 Clifton Pl, Syracuse, New York"
461 Pleasantview Ave,Syracuse,130000,"461 Pleasantview Ave, Syracuse, New York"
164 Baldwin Ave,Syracuse,68900,"164 Baldwin Ave, Syracuse, New York"
820 Teall Ave,Syracuse,0,"820 Teall Ave, Syracuse, New York"
1312 Cumberland Ave,Syracuse,0,"1312 Cumberland Ave, Syracuse, New York"
