Address,Municipality,Sale price,merged
806 Cumberland Ave,Syracuse,0,"806 Cumberland Ave, Syracuse, New York"
337 Forest Hill Dr,Syracuse,179000,"337 Forest Hill Dr, Syracuse, New York"
802 Spring St,Syracuse,100000,"802 Spring St, Syracuse, New York"
321-25 Bellevue Ave & Hudson St,Syracuse,80000,"321-25 Bellevue Ave & Hudson St, Syracuse, New York"
411 Bradley St,Syracuse,64900,"411 Bradley St, Syracuse, New York"
107 Belle Ave,Syracuse,35000,"107 Belle Ave, Syracuse, New York"
117-19 Niven St,Syracuse,125000,"117-19 Niven St, Syracuse, New York"
316 Burdick Ave,Syracuse,101400,"316 Burdick Ave, Syracuse, New York"
1831 Butternut St,Syracuse,99000,"1831 Butternut St, Syracuse, New York"
1148 Glencove Rd,Syracuse,1,"1148 Glencove Rd, Syracuse, New York"
105 Birch St,Liverpool,100000,"105 Birch St, Liverpool, New York"
460-62 Midland Ave,Syracuse,118000,"460-62 Midland Ave, Syracuse, New York"
350 Ashdale Ave,Syracuse,0,"350 Ashdale Ave, Syracuse, New York"
466 Midland Ave,Syracuse,0,"466 Midland Ave, Syracuse, New York"
214 Hancock Dr To Glenwood Av,Syracuse,271000,"214 Hancock Dr To Glenwood Av, Syracuse, New York"
601 Kirkpatrick St & Carbon S,Syracuse,180000,"601 Kirkpatrick St & Carbon S, Syracuse, New York"
420-22 Douglas St,Syracuse,165000,"420-22 Douglas St, Syracuse, New York"
136 Dorwin Ave,Syracuse,160000,"136 Dorwin Ave, Syracuse, New York"
113-17 Wainwright Ave,Syracuse,140000,"113-17 Wainwright Ave, Syracuse, New York"
547-49 Hickok Ave,Syracuse,130000,"547-49 Hickok Ave, Syracuse, New York"
228-30 Duane St,Syracuse,125000,"228-30 Duane St, Syracuse, New York"
1214 Lodi St & Laurel St E,Syracuse,96000,"1214 Lodi St & Laurel St E, Syracuse, New York"
114 Cortland Pl,Syracuse,84800,"114 Cortland Pl, Syracuse, New York"
168 Baldwin Ave,Syracuse,83000,"168 Baldwin Ave, Syracuse, New York"
1435-37 Midland Ave,Syracuse,69000,"1435-37 Midland Ave, Syracuse, New York"
128 Hayden Ave,Syracuse,52421,"128 Hayden Ave, Syracuse, New York"
380 Kennedy St,Syracuse,47000,"380 Kennedy St, Syracuse, New York"
407 Laurel St E,Syracuse,10000,"407 Laurel St E, Syracuse, New York"
120 Milnor Ave,Syracuse,1,"120 Milnor Ave, Syracuse, New York"
101 Brandon Rd,DeWitt,1,"101 Brandon Rd, DeWitt, New York"
4668 Aqua Dr,Marcellus (town),265000,"4668 Aqua Dr, Marcellus (town), New York"
5792 Seneca Tpke,Onondaga,140000,"5792 Seneca Tpke, Onondaga, New York"
905 Second St,Solvay,132500,"905 Second St, Solvay, New York"
701 Spring St,Syracuse,135000,"701 Spring St, Syracuse, New York"
237 Mckinley Ave,Syracuse,62000,"237 Mckinley Ave, Syracuse, New York"
122 Berger Ave,Syracuse,20000,"122 Berger Ave, Syracuse, New York"
321 Florence Ave,Syracuse,1,"321 Florence Ave, Syracuse, New York"
601 Forest Dr,Cicero,180000,"601 Forest Dr, Cicero, New York"
4914 Driftwood Dr,Salina,192000,"4914 Driftwood Dr, Salina, New York"
121 Charles Ave,Solvay,130000,"121 Charles Ave, Solvay, New York"
116 Scottholm Terr,Syracuse,230000,"116 Scottholm Terr, Syracuse, New York"
352 Coolidge Ave & Cheney St,Syracuse,92000,"352 Coolidge Ave & Cheney St, Syracuse, New York"
1148-50 Cannon St,Syracuse,85000,"1148-50 Cannon St, Syracuse, New York"
735 Lemoyne Ave,Syracuse,36500,"735 Lemoyne Ave, Syracuse, New York"
212 Delhi St,Syracuse,30000,"212 Delhi St, Syracuse, New York"
195 Fiscoe Ave,Syracuse,1000,"195 Fiscoe Ave, Syracuse, New York"
243 Ostrander Ave,Syracuse,976,"243 Ostrander Ave, Syracuse, New York"
1903-05 Midland Ave & Forest Ave,Syracuse,1,"1903-05 Midland Ave & Forest Ave, Syracuse, New York"
248 Collingwood Ave,Syracuse,1,"248 Collingwood Ave, Syracuse, New York"
120 Malverne Dr,Syracuse,1,"120 Malverne Dr, Syracuse, New York"
122 John St,Syracuse,0,"122 John St, Syracuse, New York"
7922 Appleton Rd,Cicero,200000,"7922 Appleton Rd, Cicero, New York"
6181 Diffin Rd,Cicero,155000,"6181 Diffin Rd, Cicero, New York"
6008 Mckinley Rd,Cicero,1,"6008 Mckinley Rd, Cicero, New York"
304 Rita Dr,Clay,204999,"304 Rita Dr, Clay, New York"
2067 Jamesville Ter,LaFayette,0,"2067 Jamesville Ter, LaFayette, New York"
7774 Rolling Ridge Dr,Manlius (town),0,"7774 Rolling Ridge Dr, Manlius (town), New York"
315 Shaver Ave,North Syracuse,195000,"315 Shaver Ave, North Syracuse, New York"
870 Franklin St,Skaneateles (town),300000,"870 Franklin St, Skaneateles (town), New York"
4908-10 Salina St,Syracuse,137800,"4908-10 Salina St, Syracuse, New York"
222 Aberdeen Terr,Syracuse,131500,"222 Aberdeen Terr, Syracuse, New York"
264 Collingwood Ave,Syracuse,100000,"264 Collingwood Ave, Syracuse, New York"
210 Wayne St,Syracuse,93600,"210 Wayne St, Syracuse, New York"
809 Midland Ave,Syracuse,0,"809 Midland Ave, Syracuse, New York"
5983 Paradise Cir,Camillus (town),345000,"5983 Paradise Cir, Camillus (town), New York"
8200 Caughdenoy Rd,Clay,339000,"8200 Caughdenoy Rd, Clay, New York"
141 Riverdale Rd,Clay,0,"141 Riverdale Rd, Clay, New York"
4964 Wintersweet Dr,Clay,0,"4964 Wintersweet Dr, Clay, New York"
38 Regatta Row,Geddes,1,"38 Regatta Row, Geddes, New York"
3403 Forester Watch Run,Lysander,362500,"3403 Forester Watch Run, Lysander, New York"
4806 Huntwood Path,Manlius (town),211000,"4806 Huntwood Path, Manlius (town), New York"
4672 Palmer Rd,Manlius (town),180400,"4672 Palmer Rd, Manlius (town), New York"
309 Hulbert St,Minoa,109000,"309 Hulbert St, Minoa, New York"
4953 Tenterden Dr,Onondaga,1,"4953 Tenterden Dr, Onondaga, New York"
111 Walters Dr,Salina,215000,"111 Walters Dr, Salina, New York"
512 Sunflower Dr,Salina,0,"512 Sunflower Dr, Salina, New York"
1485 Genesee St,Skaneateles (town),318000,"1485 Genesee St, Skaneateles (town), New York"
604 Third St,Solvay,75000,"604 Third St, Solvay, New York"
806 Cumberland Ave,Syracuse,220000,"806 Cumberland Ave, Syracuse, New York"
510 Elm St,Syracuse,100000,"510 Elm St, Syracuse, New York"
134-36 Holland St,Syracuse,55000,"134-36 Holland St, Syracuse, New York"
1315-17 Highland St & Saile St,Syracuse,0,"1315-17 Highland St & Saile St, Syracuse, New York"
216 Hamilton Rd,Cicero,145000,"216 Hamilton Rd, Cicero, New York"
4012 Bel Harbor Dr,Clay,0,"4012 Bel Harbor Dr, Clay, New York"
4511 James St,DeWitt,146000,"4511 James St, DeWitt, New York"
6452 Carson Dr,DeWitt,118500,"6452 Carson Dr, DeWitt, New York"
417 Highland Ave,East Syracuse,125000,"417 Highland Ave, East Syracuse, New York"
1006 Barnaby Rd,Elbridge (town),287000,"1006 Barnaby Rd, Elbridge (town), New York"
201 Edden Ln,North Syracuse,140000,"201 Edden Ln, North Syracuse, New York"
5111 Skyline Dr,Onondaga,231500,"5111 Skyline Dr, Onondaga, New York"
424 Woods Rd,Solvay,67500,"424 Woods Rd, Solvay, New York"
148 Lynwood Ave,Syracuse,176000,"148 Lynwood Ave, Syracuse, New York"
165 Minerva St,Syracuse,120000,"165 Minerva St, Syracuse, New York"
1621 Burnet Ave,Syracuse,119900,"1621 Burnet Ave, Syracuse, New York"
1834-36 Butternut St,Syracuse,110000,"1834-36 Butternut St, Syracuse, New York"
175 Searlwyn Rd,Syracuse,106200,"175 Searlwyn Rd, Syracuse, New York"
113 Briggs St,Syracuse,105000,"113 Briggs St, Syracuse, New York"
129-33 Collingwood Ave,Syracuse,50000,"129-33 Collingwood Ave, Syracuse, New York"
112 Oberst St,Syracuse,10000,"112 Oberst St, Syracuse, New York"
1636 Westmoreland Ave,Syracuse,2300,"1636 Westmoreland Ave, Syracuse, New York"
114 Anderson Ave,Syracuse,2000,"114 Anderson Ave, Syracuse, New York"
308 Dakin St,Syracuse,0,"308 Dakin St, Syracuse, New York"
527 Dakin St,Syracuse,0,"527 Dakin St, Syracuse, New York"
312 Shuart Ave,Syracuse,0,"312 Shuart Ave, Syracuse, New York"
107 Timwood Dr,Van Buren,213000,"107 Timwood Dr, Van Buren, New York"
107 Timwood Dr,Van Buren,213000,"107 Timwood Dr, Van Buren, New York"
201 Snowdale Dr,Van Buren,140000,"201 Snowdale Dr, Van Buren, New York"
109 Cross Rd,Camillus (town),161500,"109 Cross Rd, Camillus (town), New York"
8 South St,Camillus (village),50000,"8 South St, Camillus (village), New York"
6514 Lakeshore Rd,Cicero,20000,"6514 Lakeshore Rd, Cicero, New York"
8443 Roller Coaster Dr,Cicero,0,"8443 Roller Coaster Dr, Cicero, New York"
105 Gordon Rd,Clay,180850,"105 Gordon Rd, Clay, New York"
3873 Songbird Ln,Clay,0,"3873 Songbird Ln, Clay, New York"
6975 Woodchuck Hill Rd,DeWitt,445000,"6975 Woodchuck Hill Rd, DeWitt, New York"
1032 State Fair Blvd,Geddes,120000,"1032 State Fair Blvd, Geddes, New York"
9128 Whistling Swan Ln,Manlius (town),715000,"9128 Whistling Swan Ln, Manlius (town), New York"
144 Summerhaven Dr,Manlius (town),320000,"144 Summerhaven Dr, Manlius (town), New York"
4959 Ravine Rd,Manlius (town),250000,"4959 Ravine Rd, Manlius (town), New York"
 Gulf Rd,Manlius (town),0," Gulf Rd, Manlius (town), New York"
4231 Seneca Tpke,Onondaga,0,"4231 Seneca Tpke, Onondaga, New York"
2 Fruitwood Dr,Salina,124663,"2 Fruitwood Dr, Salina, New York"
230 Ferncliff Ave,Salina,0,"230 Ferncliff Ave, Salina, New York"
226 Ross Pk,Syracuse,205000,"226 Ross Pk, Syracuse, New York"
201 Midler Ave S & Northcliff,Syracuse,64000,"201 Midler Ave S & Northcliff, Syracuse, New York"
516 Allen St,Syracuse,0,"516 Allen St, Syracuse, New York"
27 Cross Country Dr,Van Buren,0,"27 Cross Country Dr, Van Buren, New York"
140 Casterbridge Ln,Baldwinsville,310483,"140 Casterbridge Ln, Baldwinsville, New York"
25 Charlotte St,Baldwinsville,1,"25 Charlotte St, Baldwinsville, New York"
6261 Island Rd,Cicero,0,"6261 Island Rd, Cicero, New York"
19 Mc Intosh St,Clay,225000,"19 Mc Intosh St, Clay, New York"
4898 Ver Plank Rd,Clay,1,"4898 Ver Plank Rd, Clay, New York"
108 Timber Wolf Cir,Geddes,215000,"108 Timber Wolf Cir, Geddes, New York"
501 Cherry Rd,Geddes,1,"501 Cherry Rd, Geddes, New York"
2268 Connell Terr,Lysander,147001,"2268 Connell Terr, Lysander, New York"
213 Palmer Dr,Manlius (town),239900,"213 Palmer Dr, Manlius (town), New York"
5816 Marlow Dr,Manlius (town),210000,"5816 Marlow Dr, Manlius (town), New York"
310 Churchill Ln,Manlius (town),1,"310 Churchill Ln, Manlius (town), New York"
31 Kinderwood Dr,Marcellus (village),314900,"31 Kinderwood Dr, Marcellus (village), New York"
4833 Mcdonald Rd,Onondaga,40000,"4833 Mcdonald Rd, Onondaga, New York"
5069 Betsy Ross Way,Salina,255000,"5069 Betsy Ross Way, Salina, New York"
193 Ferncliff Ave,Salina,180550,"193 Ferncliff Ave, Salina, New York"
903 Boulevard St,Salina,1,"903 Boulevard St, Salina, New York"
185 Martin St & Cadillac St,Syracuse,158000,"185 Martin St & Cadillac St, Syracuse, New York"
1706 Geddes St,Syracuse,58000,"1706 Geddes St, Syracuse, New York"
928 Glencove Rd,Syracuse,1,"928 Glencove Rd, Syracuse, New York"
5507 Rolling Meadows Way,Camillus (town),395000,"5507 Rolling Meadows Way, Camillus (town), New York"
116 Fernpark Dr,Camillus (town),185000,"116 Fernpark Dr, Camillus (town), New York"
203 Mansfield Dr,Camillus (town),146000,"203 Mansfield Dr, Camillus (town), New York"
 Kasson Rd,Camillus (town),12000," Kasson Rd, Camillus (town), New York"
404 Emann Dr,Camillus (town),0,"404 Emann Dr, Camillus (town), New York"
3688 Snowdrop Rd,Clay,0,"3688 Snowdrop Rd, Clay, New York"
303 Windsor Dr,DeWitt,4500,"303 Windsor Dr, DeWitt, New York"
5979 Sandbank Rd,Elbridge (town),62999,"5979 Sandbank Rd, Elbridge (town), New York"
154 Century Dr,Geddes,1,"154 Century Dr, Geddes, New York"
6405 Killoe Rd,Lysander,805000,"6405 Killoe Rd, Lysander, New York"
2100 Harkins Ln,Lysander,85000,"2100 Harkins Ln, Lysander, New York"
335 Sunset Dr,Manlius (town),0,"335 Sunset Dr, Manlius (town), New York"
113 Left Field Crse,Manlius (village),560000,"113 Left Field Crse, Manlius (village), New York"
28 Maple St,Marcellus (village),189000,"28 Maple St, Marcellus (village), New York"
4325 Cleveland Rd,Onondaga,235000,"4325 Cleveland Rd, Onondaga, New York"
3935 Seneca Tpke,Onondaga,1,"3935 Seneca Tpke, Onondaga, New York"
6853 Thomas Dr,Salina,265000,"6853 Thomas Dr, Salina, New York"
213 Crestwood Dr,Salina,138000,"213 Crestwood Dr, Salina, New York"
409 Buckley Rd,Salina,90000,"409 Buckley Rd, Salina, New York"
80 Lake St,Skaneateles (village),1815000,"80 Lake St, Skaneateles (village), New York"
62 Genesee St,Skaneateles (village),1,"62 Genesee St, Skaneateles (village), New York"
 Rt 41,Spafford,150000," Rt 41, Spafford, New York"
1014 Spring St,Syracuse,154900,"1014 Spring St, Syracuse, New York"
310 Martin St,Syracuse,131000,"310 Martin St, Syracuse, New York"
1304 Onondaga St,Syracuse,75000,"1304 Onondaga St, Syracuse, New York"
208 Mary St,Syracuse,70000,"208 Mary St, Syracuse, New York"
346-48 Webster Ave,Syracuse,1,"346-48 Webster Ave, Syracuse, New York"
1382 Gunbarrel Rd,Van Buren,0,"1382 Gunbarrel Rd, Van Buren, New York"
6800 Van Buren Road,Van Buren,0,"6800 Van Buren Road, Van Buren, New York"
216 Inwood Dr,Camillus (town),167500,"216 Inwood Dr, Camillus (town), New York"
8375 Boyko Farm,Cicero,235000,"8375 Boyko Farm, Cicero, New York"
6760 Schuyler Rd,DeWitt,0,"6760 Schuyler Rd, DeWitt, New York"
116 Parsons Dr,Geddes,100000,"116 Parsons Dr, Geddes, New York"
7760 Longbow Way,Lysander,130000,"7760 Longbow Way, Lysander, New York"
6818 Guyder Rd,Lysander,1,"6818 Guyder Rd, Lysander, New York"
5546 Gulf Rd,Manlius (town),335685,"5546 Gulf Rd, Manlius (town), New York"
8040 Saintsville Rd,Manlius (town),175000,"8040 Saintsville Rd, Manlius (town), New York"
5193 Duane Dr,Manlius (town),0,"5193 Duane Dr, Manlius (town), New York"
9 Beach Rd,Marcellus (village),1,"9 Beach Rd, Marcellus (village), New York"
104&106 Melrose Dr,North Syracuse,77000,"104&106 Melrose Dr, North Syracuse, New York"
4757 Makyes Rd,Onondaga,1,"4757 Makyes Rd, Onondaga, New York"
8900 Number 5 Rd E,Pompey,90000,"8900 Number 5 Rd E, Pompey, New York"
212 Berwick Rd S,Salina,145000,"212 Berwick Rd S, Salina, New York"
154 Lorian Dr,Salina,0,"154 Lorian Dr, Salina, New York"
2830 Lake Rd,Skaneateles (town),1700000,"2830 Lake Rd, Skaneateles (town), New York"
716 Fourth St,Solvay,114900,"716 Fourth St, Solvay, New York"
221 Harding St,Syracuse,161000,"221 Harding St, Syracuse, New York"
137 Arsenal Dr,Syracuse,122300,"137 Arsenal Dr, Syracuse, New York"
218 Bassett St,Syracuse,118900,"218 Bassett St, Syracuse, New York"
831 Lemoyne Ave,Syracuse,44000,"831 Lemoyne Ave, Syracuse, New York"
329 Beech St,Syracuse,2301,"329 Beech St, Syracuse, New York"
900 Highland St & Carbon St S,Syracuse,1644,"900 Highland St & Carbon St S, Syracuse, New York"
137 Eureka St & W Side Rr,Syracuse,1452,"137 Eureka St & W Side Rr, Syracuse, New York"
829 Hiawatha Blvd,Syracuse,913,"829 Hiawatha Blvd, Syracuse, New York"
2010 State St S,Syracuse,854,"2010 State St S, Syracuse, New York"
402 Avery Ave,Syracuse,834,"402 Avery Ave, Syracuse, New York"
107 Alvord St,Syracuse,702,"107 Alvord St, Syracuse, New York"
249 Kenmore Ave,Syracuse,665,"249 Kenmore Ave, Syracuse, New York"
106 Alvord St,Syracuse,328,"106 Alvord St, Syracuse, New York"
206-10 Holland St,Syracuse,82,"206-10 Holland St, Syracuse, New York"
307 Baker Ave,Syracuse,71,"307 Baker Ave, Syracuse, New York"
137 Eureka St & W Side Rr,Syracuse,0,"137 Eureka St & W Side Rr, Syracuse, New York"
106 Alvord St,Syracuse,0,"106 Alvord St, Syracuse, New York"
117 Delong Ave,Syracuse,0,"117 Delong Ave, Syracuse, New York"
3401 James St Rear #8,Syracuse,0,"3401 James St Rear #8, Syracuse, New York"
6191 Birchwood Rd,Cicero,0,"6191 Birchwood Rd, Cicero, New York"
114 Pleasant Beach Rd,Geddes,0,"114 Pleasant Beach Rd, Geddes, New York"
553-555 Sunflower Dr,Salina,0,"553-555 Sunflower Dr, Salina, New York"
225 Hier Ave,Syracuse,0,"225 Hier Ave, Syracuse, New York"
214 Fieldcrest Dr,Camillus (town),0,"214 Fieldcrest Dr, Camillus (town), New York"
8618 Cobalt Dr,Cicero,365000,"8618 Cobalt Dr, Cicero, New York"
10 Limetree Ln,Clay,187000,"10 Limetree Ln, Clay, New York"
8232 Honeysuckle Dr,Clay,176000,"8232 Honeysuckle Dr, Clay, New York"
4243 Sandbar Ln,Clay,151000,"4243 Sandbar Ln, Clay, New York"
8270 Swallow Path,Clay,0,"8270 Swallow Path, Clay, New York"
111 Wembridge Dr,DeWitt,116000,"111 Wembridge Dr, DeWitt, New York"
104 Silver St,East Syracuse,150000,"104 Silver St, East Syracuse, New York"
208 Haywood Rd,Geddes,230000,"208 Haywood Rd, Geddes, New York"
426 Terry Rd,Geddes,205000,"426 Terry Rd, Geddes, New York"
208 Haywood Rd,Geddes,1,"208 Haywood Rd, Geddes, New York"
4679 Watch Hill Rd,Manlius (village),340000,"4679 Watch Hill Rd, Manlius (village), New York"
122 Pembrook Dr,Onondaga,1,"122 Pembrook Dr, Onondaga, New York"
4418 Oran Station Rd,Pompey,415000,"4418 Oran Station Rd, Pompey, New York"
123 Circle Rd,Salina,205501,"123 Circle Rd, Salina, New York"
3140 Rickard Rd,Skaneateles (town),270000,"3140 Rickard Rd, Skaneateles (town), New York"
1120 Jewett Rd,Skaneateles (town),0,"1120 Jewett Rd, Skaneateles (town), New York"
1904 Colvin St W,Syracuse,175000,"1904 Colvin St W, Syracuse, New York"
149 Malverne Dr,Syracuse,141000,"149 Malverne Dr, Syracuse, New York"
310-12 Burdick Ave,Syracuse,132500,"310-12 Burdick Ave, Syracuse, New York"
216 Eldorado St,Syracuse,89900,"216 Eldorado St, Syracuse, New York"
113-15 Cayuga St,Syracuse,1,"113-15 Cayuga St, Syracuse, New York"
216 Eldorado St,Syracuse,0,"216 Eldorado St, Syracuse, New York"
111 Silverlace Ter,Camillus (town),125000,"111 Silverlace Ter, Camillus (town), New York"
8512 Dory Crse,Cicero,326000,"8512 Dory Crse, Cicero, New York"
6337 Mud Mill Rd,Cicero,1,"6337 Mud Mill Rd, Cicero, New York"
6300 South Bay Rd,Cicero,0,"6300 South Bay Rd, Cicero, New York"
4922 Joyce Pl,Clay,235000,"4922 Joyce Pl, Clay, New York"
21 Elbridge St,Jordan,126075,"21 Elbridge St, Jordan, New York"
101 Miller Dr,Manlius (town),95000,"101 Miller Dr, Manlius (town), New York"
401 Pleasant St,Manlius (village),300000,"401 Pleasant St, Manlius (village), New York"
5075 Minuteman Ln,Salina,270000,"5075 Minuteman Ln, Salina, New York"
209 Florida Rd N,Salina,1,"209 Florida Rd N, Salina, New York"
4150 Jordan Rd,Skaneateles (town),86800,"4150 Jordan Rd, Skaneateles (town), New York"
1967 Milton Ave,Solvay,115000,"1967 Milton Ave, Solvay, New York"
504 Midler Ave,Syracuse,123600,"504 Midler Ave, Syracuse, New York"
1914-16 Bellevue Ave,Syracuse,85000,"1914-16 Bellevue Ave, Syracuse, New York"
223 Clarence Ave,Syracuse,81000,"223 Clarence Ave, Syracuse, New York"
621 Hawley Ave,Syracuse,81000,"621 Hawley Ave, Syracuse, New York"
113 Sunstruck Dr,Syracuse,1,"113 Sunstruck Dr, Syracuse, New York"
211 Resseguie Dr,Van Buren,74900,"211 Resseguie Dr, Van Buren, New York"
7078 Lakeshore Rd,Cicero,1,"7078 Lakeshore Rd, Cicero, New York"
107 Roycroft Rd,DeWitt,175000,"107 Roycroft Rd, DeWitt, New York"
111 Greentree Dr,DeWitt,163500,"111 Greentree Dr, DeWitt, New York"
809 Mcdowell Rd,Elbridge (town),600000,"809 Mcdowell Rd, Elbridge (town), New York"
6389 Burton Rd,Elbridge (town),0,"6389 Burton Rd, Elbridge (town), New York"
385 Lake Rd,Fabius (town),0,"385 Lake Rd, Fabius (town), New York"
726 State Fair Blvd,Geddes,275000,"726 State Fair Blvd, Geddes, New York"
3423 Tall Tree Ln,Lysander,408400,"3423 Tall Tree Ln, Lysander, New York"
638 Lamson Rd,Lysander,186000,"638 Lamson Rd, Lysander, New York"
3423 Tall Tree Ln,Lysander,62500,"3423 Tall Tree Ln, Lysander, New York"
8184 David Ln,Lysander,1,"8184 David Ln, Lysander, New York"
105 Edwards Falls Ln,Manlius (town),519900,"105 Edwards Falls Ln, Manlius (town), New York"
163 Seneca St,Manlius (village),265000,"163 Seneca St, Manlius (village), New York"
4560 Grace Pl,Onondaga,0,"4560 Grace Pl, Onondaga, New York"
3635 Pompey Center Rd,Pompey,180000,"3635 Pompey Center Rd, Pompey, New York"
21 Bevell Ln,Salina,185000,"21 Bevell Ln, Salina, New York"
224 Beley Ave,Salina,93500,"224 Beley Ave, Salina, New York"
305 Sandra Dr,Salina,0,"305 Sandra Dr, Salina, New York"
1075-77 Genesee St W & Liberty St,Syracuse,405000,"1075-77 Genesee St W & Liberty St, Syracuse, New York"
257 Edwards Ave,Syracuse,140000,"257 Edwards Ave, Syracuse, New York"
1508 Burnet Ave,Syracuse,135000,"1508 Burnet Ave, Syracuse, New York"
161 Hillsdale Ave,Syracuse,74000,"161 Hillsdale Ave, Syracuse, New York"
314-16 Loomis Ave,Syracuse,50000,"314-16 Loomis Ave, Syracuse, New York"
129-33 Collingwood Ave,Syracuse,45500,"129-33 Collingwood Ave, Syracuse, New York"
3753 Malibu Hills Dr,Camillus (town),399900,"3753 Malibu Hills Dr, Camillus (town), New York"
4972 Moses Dr,Clay,250000,"4972 Moses Dr, Clay, New York"
4753 Freestone Rd,Clay,211000,"4753 Freestone Rd, Clay, New York"
7592 Fitzpatrick Dr,Clay,199000,"7592 Fitzpatrick Dr, Clay, New York"
10 Apple Tree Ln,Clay,1,"10 Apple Tree Ln, Clay, New York"
7775 Main St,Fabius (village),55900,"7775 Main St, Fabius (village), New York"
5826 Durham Ln,Manlius (town),251000,"5826 Durham Ln, Manlius (town), New York"
908 Buckley Rd,Salina,167000,"908 Buckley Rd, Salina, New York"
103 Campbell Rd,Salina,126000,"103 Campbell Rd, Salina, New York"
240-44 Miles Ave,Syracuse,275000,"240-44 Miles Ave, Syracuse, New York"
533-35 Clarendon St,Syracuse,170000,"533-35 Clarendon St, Syracuse, New York"
232 Taft Ave & Beacon Rd,Syracuse,1,"232 Taft Ave & Beacon Rd, Syracuse, New York"
356 Hillsdale Ave,Syracuse,1,"356 Hillsdale Ave, Syracuse, New York"
600 Wolf St & First North St,Syracuse,0,"600 Wolf St & First North St, Syracuse, New York"
21 Charing Cross Cir,Baldwinsville,0,"21 Charing Cross Cir, Baldwinsville, New York"
113 Glenview Pkwy,Camillus (town),180250,"113 Glenview Pkwy, Camillus (town), New York"
6148 Ridgecrest Dr,Cicero,262000,"6148 Ridgecrest Dr, Cicero, New York"
8536 Farm Gate Path,Cicero,259000,"8536 Farm Gate Path, Cicero, New York"
8364 Factory St,Cicero,222000,"8364 Factory St, Cicero, New York"
508 Mccool Ave,East Syracuse,1,"508 Mccool Ave, East Syracuse, New York"
108 Homer Ave,Geddes,36500,"108 Homer Ave, Geddes, New York"
501 Cypress St,Liverpool,173000,"501 Cypress St, Liverpool, New York"
3401 Long Shadow Dr,Lysander,450000,"3401 Long Shadow Dr, Lysander, New York"
8722 N Entry Rd,Lysander,356000,"8722 N Entry Rd, Lysander, New York"
9481 E Mud Lake Rd,Lysander,165000,"9481 E Mud Lake Rd, Lysander, New York"
103 Minoa Lakes Dr,Minoa,55000,"103 Minoa Lakes Dr, Minoa, New York"
103 Minoa Lakes Dr,Minoa,24000,"103 Minoa Lakes Dr, Minoa, New York"
4301 Rohe Rd,Onondaga,190000,"4301 Rohe Rd, Onondaga, New York"
4154 Cherrywood Dr,Onondaga,1,"4154 Cherrywood Dr, Onondaga, New York"
7001 Salina St,Onondaga,1,"7001 Salina St, Onondaga, New York"
215 Ida Ave,Onondaga,0,"215 Ida Ave, Onondaga, New York"
111 Marilyn Ave,Salina,180000,"111 Marilyn Ave, Salina, New York"
