Address,Municipality,Sale price,merged
 East Genesee Street Rd,Sennett,1," East Genesee Street Rd, Sennett, New York"
 Mason Rd,Brookfield,1," Mason Rd, Brookfield, New York"
9548 Clarecastle Path,Cicero,43500,"9548 Clarecastle Path, Cicero, New York"
 Curtain Rd,Tully (town),142500," Curtain Rd, Tully (town), New York"
 Lower Rd,Constantia,0," Lower Rd, Constantia, New York"
9468 Horseshoe Is Rd,Clay,7501,"9468 Horseshoe Is Rd, Clay, New York"
2590 Clematis Circle,Pompey,1,"2590 Clematis Circle, Pompey, New York"
843 Crow Hill Rd,Skaneateles (town),550000,"843 Crow Hill Rd, Skaneateles (town), New York"
 Stone Hill Rd,Amboy,0," Stone Hill Rd, Amboy, New York"
954 Co Rt 13,Boylston,40000,"954 Co Rt 13, Boylston, New York"
 Grand View Ave,Mexico (town),0," Grand View Ave, Mexico (town), New York"
 Co Rt 62,Richland,32335," Co Rt 62, Richland, New York"
525 Middle Rd,Scriba,95000,"525 Middle Rd, Scriba, New York"
302 Hitchcock Point Road,Sullivan,80000,"302 Hitchcock Point Road, Sullivan, New York"
7330-35 Klines Island,Lysander,1685,"7330-35 Klines Island, Lysander, New York"
3547 Hayes Rd,Lysander,1246,"3547 Hayes Rd, Lysander, New York"
8961 Cazenovia Rd,Pompey,65000,"8961 Cazenovia Rd, Pompey, New York"
189-191 Beechwood Ave,Salina,25716,"189-191 Beechwood Ave, Salina, New York"
261 Leighton Ave,Salina,5050,"261 Leighton Ave, Salina, New York"
 Woods Path Rd,Salina,3926," Woods Path Rd, Salina, New York"
 Schaffer Ave,Salina,3845," Schaffer Ave, Salina, New York"
 Snyder Ave,Salina,1961," Snyder Ave, Salina, New York"
 Snyder Ave,Salina,1961," Snyder Ave, Salina, New York"
108 Sinclair St,Skaneateles (village),305000,"108 Sinclair St, Skaneateles (village), New York"
 Nelson St,Cazenovia (village),1," Nelson St, Cazenovia (village), New York"
1636 Willowdale  Road,Spafford,1,"1636 Willowdale  Road, Spafford, New York"
 Glen Haven Rd,Niles,1," Glen Haven Rd, Niles, New York"
 Lincoln Knolls E.,Lincoln,25000," Lincoln Knolls E., Lincoln, New York"
227 Fairmount Ave,Salina,19000,"227 Fairmount Ave, Salina, New York"
 Jess Dr,Redfield,30000," Jess Dr, Redfield, New York"
 Spring St,Hamilton (town),75000," Spring St, Hamilton (town), New York"
 Curtain Rd,Tully (town),75000," Curtain Rd, Tully (town), New York"
40 New Meadows Dr,Hannibal (village),16900,"40 New Meadows Dr, Hannibal (village), New York"
44961 Ryans Way,Oswego (city),0,"44961 Ryans Way, Oswego (city), New York"
1385 Co Rt 37,West Monroe,120000,"1385 Co Rt 37, West Monroe, New York"
 Creek Rd,Sterling,8000," Creek Rd, Sterling, New York"
6118 Lakeshore Rd,Cicero,125000,"6118 Lakeshore Rd, Cicero, New York"
 South Ave,Onondaga,1," South Ave, Onondaga, New York"
805 Midland Ave,Syracuse,1,"805 Midland Ave, Syracuse, New York"
708 North Rd,Tully (town),100000,"708 North Rd, Tully (town), New York"
15590 Firelane 1,Sterling,10000,"15590 Firelane 1, Sterling, New York"
381 Co Rt 2,Redfield,0,"381 Co Rt 2, Redfield, New York"
2968 Ditmar Rd,Cato (town),20000,"2968 Ditmar Rd, Cato (town), New York"
9415 Woods Road,Sullivan,29000,"9415 Woods Road, Sullivan, New York"
8865 Beach Rd,Cicero,300,"8865 Beach Rd, Cicero, New York"
88 Birmingham Dr,Amboy,13995,"88 Birmingham Dr, Amboy, New York"
 Gale Rd,Cleveland,12000," Gale Rd, Cleveland, New York"
Off Co Rt 6,Schroeppel,15000,"Off Co Rt 6, Schroeppel, New York"
 Mary Lynn Dr. & Canal Rd.,Lenox,0," Mary Lynn Dr. & Canal Rd., Lenox, New York"
 Cedar St,Morrisville,1," Cedar St, Morrisville, New York"
103 Corliss Rd,Geddes,1,"103 Corliss Rd, Geddes, New York"
 Tuttle Rd,Cicero,1," Tuttle Rd, Cicero, New York"
6718 Pottery Rd,Van Buren,250000,"6718 Pottery Rd, Van Buren, New York"
226 Krebs Rd,Richland,0,"226 Krebs Rd, Richland, New York"
102 Steven Terr,Geddes,400000,"102 Steven Terr, Geddes, New York"
 Mc Caw Rd,Redfield,35000," Mc Caw Rd, Redfield, New York"
 Nottingham Rd,DeWitt,60000," Nottingham Rd, DeWitt, New York"
19 Fourth St,Fulton,105000,"19 Fourth St, Fulton, New York"
22 & 20 Mexico Bay Beach,Mexico (town),500,"22 & 20 Mexico Bay Beach, Mexico (town), New York"
54 Lake Pennock Dr,Orwell,90000,"54 Lake Pennock Dr, Orwell, New York"
15 Chinook St,Pulaski,20000,"15 Chinook St, Pulaski, New York"
 State Route 90,Ledyard,50000," State Route 90, Ledyard, New York"
 Cleveland Road,Onondaga,80000," Cleveland Road, Onondaga, New York"
 Hessel Rd,Boylston,60000," Hessel Rd, Boylston, New York"
239-45 Co Rt 29,Scriba,0,"239-45 Co Rt 29, Scriba, New York"
 Cleveland Road,Onondaga,70000," Cleveland Road, Onondaga, New York"
138 Campbell Rd,Salina,150000,"138 Campbell Rd, Salina, New York"
 Pople Ridge Rd,Mexico (town),17600," Pople Ridge Rd, Mexico (town), New York"
 Brook Trout Ln,Redfield,50000," Brook Trout Ln, Redfield, New York"
256 Third St,Fulton,1,"256 Third St, Fulton, New York"
753 Mc Donald Rd,Montezuma,180000,"753 Mc Donald Rd, Montezuma, New York"
 Richardson Hill Rd,Sempronius,100000," Richardson Hill Rd, Sempronius, New York"
5516 Vista Way,Camillus (town),52900,"5516 Vista Way, Camillus (town), New York"
 Terry Rd,Geddes,1," Terry Rd, Geddes, New York"
1398 Ryan Rd,Otisco,0,"1398 Ryan Rd, Otisco, New York"
 Whig Hill Rd,West Monroe,15000," Whig Hill Rd, West Monroe, New York"
128 Meirs Rd,Williamstown,21000,"128 Meirs Rd, Williamstown, New York"
 Barcroft Dr,Camillus (town),1," Barcroft Dr, Camillus (town), New York"
1576 St Rt 49,Constantia,250000,"1576 St Rt 49, Constantia, New York"
Off St Rt 48,Granby,3000,"Off St Rt 48, Granby, New York"
 Hogs Back Rd,Hastings,2000," Hogs Back Rd, Hastings, New York"
 Perry Hill Rd,Oswego (town),1000," Perry Hill Rd, Oswego (town), New York"
1462 Co Rt 4,Palermo,31000,"1462 Co Rt 4, Palermo, New York"
 Co Rt 57,Volney,5000," Co Rt 57, Volney, New York"
27 Bradley St,Auburn,1,"27 Bradley St, Auburn, New York"
95-97 E Genesee St,Auburn,1,"95-97 E Genesee St, Auburn, New York"
 Wilson Point Rd,Sullivan,55000," Wilson Point Rd, Sullivan, New York"
 Chatfield Rd,Elbridge (town),1," Chatfield Rd, Elbridge (town), New York"
1159 Grand Ave,Geddes,1,"1159 Grand Ave, Geddes, New York"
12 Kinderwood Dr,Marcellus (village),1,"12 Kinderwood Dr, Marcellus (village), New York"
 Hardscrabble Rd,Nelson,1," Hardscrabble Rd, Nelson, New York"
 Co Rt 4,Palermo,60500," Co Rt 4, Palermo, New York"
794 Co Rt 62,Sandy Creek (town),30000,"794 Co Rt 62, Sandy Creek (town), New York"
 Co Rt 45,Volney,0," Co Rt 45, Volney, New York"
56-58 Frances St,Auburn,1,"56-58 Frances St, Auburn, New York"
 Rolling Meadows Way,Camillus (town),52900," Rolling Meadows Way, Camillus (town), New York"
5507 Vista Way,Camillus (town),52900,"5507 Vista Way, Camillus (town), New York"
5557 Rolling Meadows Way,Camillus (town),51900,"5557 Rolling Meadows Way, Camillus (town), New York"
8075 Forest Ridge Lane,Lysander,375000,"8075 Forest Ridge Lane, Lysander, New York"
8075 Forest Ridge Lane,Lysander,50000,"8075 Forest Ridge Lane, Lysander, New York"
218 James St,Canastota,5500,"218 James St, Canastota, New York"
229 Canal St,Canastota,4000,"229 Canal St, Canastota, New York"
4249 Canal Rd,Lenox,5500,"4249 Canal Rd, Lenox, New York"
 Corner Lot,Lysander,372385," Corner Lot, Lysander, New York"
6932 Guyder Rd,Lysander,140000,"6932 Guyder Rd, Lysander, New York"
 Central Ave,Minoa,17900," Central Ave, Minoa, New York"
 Beef St,Onondaga,1," Beef St, Onondaga, New York"
14 Dylan Dr,Central Square,350000,"14 Dylan Dr, Central Square, New York"
 Rainbow Shores Rd,Sandy Creek (town),0," Rainbow Shores Rd, Sandy Creek (town), New York"
 Glen Haven Rd,Niles,1," Glen Haven Rd, Niles, New York"
5567 Rolling Meadows Way,Camillus (town),505500,"5567 Rolling Meadows Way, Camillus (town), New York"
 Mc Clennan Dr,Manlius (town),5000," Mc Clennan Dr, Manlius (town), New York"
 Octagon Rd,Otisco,0," Octagon Rd, Otisco, New York"
8007 Gallagher Rd Ext,Van Buren,33000,"8007 Gallagher Rd Ext, Van Buren, New York"
 Scenic Ave,Mexico (village),14000," Scenic Ave, Mexico (village), New York"
 Smith Rd,Lebanon,11000," Smith Rd, Lebanon, New York"
 Lafayette Rd,LaFayette,0," Lafayette Rd, LaFayette, New York"
302 Champlin Rd,Summerhill,255000,"302 Champlin Rd, Summerhill, New York"
 Craine Lake Rd,Lebanon,70000," Craine Lake Rd, Lebanon, New York"
5569 Rolling Meadows Way,Camillus (town),1,"5569 Rolling Meadows Way, Camillus (town), New York"
 Darrow Ave,Solvay,170000," Darrow Ave, Solvay, New York"
 Co Rt 15,Boylston,125000," Co Rt 15, Boylston, New York"
45277 Sunset Ln,Sandy Creek (town),0,"45277 Sunset Ln, Sandy Creek (town), New York"
 Swamp Rd,Sennett,85000," Swamp Rd, Sennett, New York"
 Dam Road,Cazenovia (town),1," Dam Road, Cazenovia (town), New York"
 Owasco Ave,Cicero,1," Owasco Ave, Cicero, New York"
3383 Longview Terrace,Lysander,525000,"3383 Longview Terrace, Lysander, New York"
3424 Tall Tree Lane,Lysander,403420,"3424 Tall Tree Lane, Lysander, New York"
3424 Tall Tree Lane,Lysander,65000,"3424 Tall Tree Lane, Lysander, New York"
 Tannery Ln,Fulton,6500," Tannery Ln, Fulton, New York"
 Bear Swamp Rd,Sempronius,211325," Bear Swamp Rd, Sempronius, New York"
 Stevens Rd,Elbridge (town),5000," Stevens Rd, Elbridge (town), New York"
8055 Forest Ridge Lane,Lysander,344500,"8055 Forest Ridge Lane, Lysander, New York"
8055 Forest Ridge Lane,Lysander,75000,"8055 Forest Ridge Lane, Lysander, New York"
 Hog Back Rd,Orwell,28900," Hog Back Rd, Orwell, New York"
210-16 Goodfellow Rd,Palermo,100000,"210-16 Goodfellow Rd, Palermo, New York"
3533 Lost Hollow Rd,Skaneateles (town),0,"3533 Lost Hollow Rd, Skaneateles (town), New York"
343 St Rt 34,Hannibal (town),35000,"343 St Rt 34, Hannibal (town), New York"
 St Rt 49,West Monroe,70000," St Rt 49, West Monroe, New York"
 Meirs Rd,Williamstown,0," Meirs Rd, Williamstown, New York"
"288 Fire Lane 2, Lot # 8",Genoa,44600,"288 Fire Lane 2, Lot # 8, Genoa, New York"
 Atwood Rd,Sempronius,36000," Atwood Rd, Sempronius, New York"
7233 Van Buren Rd,Van Buren,0,"7233 Van Buren Rd, Van Buren, New York"
6927 Island Rd,Cicero,120000,"6927 Island Rd, Cicero, New York"
Off Co Rt 1A,Scriba,2000,"Off Co Rt 1A, Scriba, New York"
213 Seymour St,Auburn,65000,"213 Seymour St, Auburn, New York"
 Shepherd Rd,Brutus,10," Shepherd Rd, Brutus, New York"
54 Lilly Ln,Conquest,80000,"54 Lilly Ln, Conquest, New York"
254 Main Street,Mentz,290000,"254 Main Street, Mentz, New York"
105.5 Meyers Rd,Salina,295000,"105.5 Meyers Rd, Salina, New York"
5 Marsden Dr,Mexico (town),19500,"5 Marsden Dr, Mexico (town), New York"
2481 Pleasant Rd,Eaton,1,"2481 Pleasant Rd, Eaton, New York"
203 Albright Rd,New Haven,145000,"203 Albright Rd, New Haven, New York"
 Hadcock Dr,Fair Haven,1," Hadcock Dr, Fair Haven, New York"
4501 East Lake Rd,Cazenovia (town),300000,"4501 East Lake Rd, Cazenovia (town), New York"
1284 Comstock Ave R 107 Xavier,Syracuse,65000,"1284 Comstock Ave R 107 Xavier, Syracuse, New York"
210-12 Glenwood Ave,Syracuse,2060,"210-12 Glenwood Ave, Syracuse, New York"
129-31 Baker Ave,Syracuse,69,"129-31 Baker Ave, Syracuse, New York"
178 Milnor Ave & Ball Ave,Syracuse,68,"178 Milnor Ave & Ball Ave, Syracuse, New York"
276 Lakeshore Rd,Oswego (town),92300,"276 Lakeshore Rd, Oswego (town), New York"
10185 Jordan Road,Cato (town),10000,"10185 Jordan Road, Cato (town), New York"
3078 Bush Rd,Pompey,285000,"3078 Bush Rd, Pompey, New York"
 Co Rt 4,Hastings,38900," Co Rt 4, Hastings, New York"
326 Mc Caw Rd,Redfield,30000,"326 Mc Caw Rd, Redfield, New York"
 Kline Rd,Schroeppel,22000," Kline Rd, Schroeppel, New York"
24 Johns Dr,Schroeppel,0,"24 Johns Dr, Schroeppel, New York"
919 Stone Hill Rd,Williamstown,47000,"919 Stone Hill Rd, Williamstown, New York"
 Ricard Rd,Williamstown,3000," Ricard Rd, Williamstown, New York"
3757 Malibu Hills Drive,Camillus (town),415700,"3757 Malibu Hills Drive, Camillus (town), New York"
8186 Rachel Ct,Clay,280000,"8186 Rachel Ct, Clay, New York"
 Cleveland Road,Onondaga,75000," Cleveland Road, Onondaga, New York"
301 Lee Rd,New Haven,161000,"301 Lee Rd, New Haven, New York"
26 Montgomery St,Parish (village),9000,"26 Montgomery St, Parish (village), New York"
14831 Hadcock Dr,Fair Haven,70000,"14831 Hadcock Dr, Fair Haven, New York"
15 Clairborn Court,Minoa,65000,"15 Clairborn Court, Minoa, New York"
Lot 157 15 Clairborn,Minoa,24000,"Lot 157 15 Clairborn, Minoa, New York"
 Peat Bed Rd,Hannibal (town),20000," Peat Bed Rd, Hannibal (town), New York"
32 Albany St,Oswego (city),0,"32 Albany St, Oswego (city), New York"
Off Thompson Rd,Oswego (town),0,"Off Thompson Rd, Oswego (town), New York"
 Co Rt 4,Volney,54000," Co Rt 4, Volney, New York"
2875 Firelane 1,Venice,1,"2875 Firelane 1, Venice, New York"
9130 Ashley Landing Dr,Clay,478000,"9130 Ashley Landing Dr, Clay, New York"
 Schaap Rd,Elbridge (town),13000," Schaap Rd, Elbridge (town), New York"
545-47 Park Ave,Syracuse,976,"545-47 Park Ave, Syracuse, New York"
66 Second St,Fulton,72000,"66 Second St, Fulton, New York"
943 State Route 34B,Genoa,530000,"943 State Route 34B, Genoa, New York"
 State Rt 104,Sterling,11000," State Rt 104, Sterling, New York"
 Old State Rd,Victory,485000," Old State Rd, Victory, New York"
726 Co Rt 85,Hannibal (town),0,"726 Co Rt 85, Hannibal (town), New York"
107-38 Wart Rd,Orwell,0,"107-38 Wart Rd, Orwell, New York"
2100 Lemon School Rd,Conquest,1,"2100 Lemon School Rd, Conquest, New York"
3544 Wyckoff Rd,Scipio,800000,"3544 Wyckoff Rd, Scipio, New York"
 Hayes Rd,Lysander,15000," Hayes Rd, Lysander, New York"
 Riverside Pointe Dr,Albion,85000," Riverside Pointe Dr, Albion, New York"
92 Lewis St,Pulaski,49900,"92 Lewis St, Pulaski, New York"
5554 Huntington Camp Rd,Eaton,60000,"5554 Huntington Camp Rd, Eaton, New York"
Lot 4 Seneca Estates Marina,Lysander,3500,"Lot 4 Seneca Estates Marina, Lysander, New York"
,Syracuse,151,
,Syracuse,151,
 W Sorrell Hill Rd,Van Buren,0," W Sorrell Hill Rd, Van Buren, New York"
292 Towne Rd,Albion,0,"292 Towne Rd, Albion, New York"
393 Eighth St,Oswego (city),0,"393 Eighth St, Oswego (city), New York"
5875 Quarter Moon Dr,Onondaga,53000,"5875 Quarter Moon Dr, Onondaga, New York"
2835 Gardner Rd,Pompey,56000,"2835 Gardner Rd, Pompey, New York"
 Tannery Ln,Fulton,6000," Tannery Ln, Fulton, New York"
 Tannery Ln,Fulton,3000," Tannery Ln, Fulton, New York"
1 Tower Dr,Fulton,1,"1 Tower Dr, Fulton, New York"
1 Maple Crest Ln,Fulton,1,"1 Maple Crest Ln, Fulton, New York"
2 Maple Crest Ln,Fulton,0,"2 Maple Crest Ln, Fulton, New York"
3 Maple Crest Ln,Fulton,0,"3 Maple Crest Ln, Fulton, New York"
8 Maple Crest Ln,Fulton,0,"8 Maple Crest Ln, Fulton, New York"
9 Maple Crest Ln,Fulton,0,"9 Maple Crest Ln, Fulton, New York"
10 Maple Crest Ln,Fulton,0,"10 Maple Crest Ln, Fulton, New York"
 Hume Ln,Throop,40000," Hume Ln, Throop, New York"
113-115 Roberts St,Canastota,100000,"113-115 Roberts St, Canastota, New York"
9028 River Rd,Lysander,30000,"9028 River Rd, Lysander, New York"
1907 Hibbard Rd,Brookfield,33000,"1907 Hibbard Rd, Brookfield, New York"
56 Payne St,Hamilton (village),730000,"56 Payne St, Hamilton (village), New York"
425 Dewport Road,Van Buren,75000,"425 Dewport Road, Van Buren, New York"
63-65 First St,Fulton,1000,"63-65 First St, Fulton, New York"
1761 Bush Hill Rd,Conquest,16000,"1761 Bush Hill Rd, Conquest, New York"
 Smith Rd,Cazenovia (town),62000," Smith Rd, Cazenovia (town), New York"
5874 Quarry Rd,Lincoln,29000,"5874 Quarry Rd, Lincoln, New York"
212 Mc Caw Rd,Redfield,35000,"212 Mc Caw Rd, Redfield, New York"
12595 Ira Station Rd,Victory,80000,"12595 Ira Station Rd, Victory, New York"
23 Dunlap Avenue,Marcellus (village),99900,"23 Dunlap Avenue, Marcellus (village), New York"
7362 Skadden Terr,Tully (village),16500,"7362 Skadden Terr, Tully (village), New York"
128 Meirs Rd,Williamstown,0,"128 Meirs Rd, Williamstown, New York"
5012 State Route 34,Fleming,65000,"5012 State Route 34, Fleming, New York"
 Fancher Ave,Fair Haven,90000," Fancher Ave, Fair Haven, New York"
4776 Westcott Road,Eaton,1000,"4776 Westcott Road, Eaton, New York"
6130 Mud Mill Rd,Cicero,59999,"6130 Mud Mill Rd, Cicero, New York"
4644 Kingsford Ter,Onondaga,770000,"4644 Kingsford Ter, Onondaga, New York"
399 Hog Back Rd,Orwell,40000,"399 Hog Back Rd, Orwell, New York"
34 Donovan Dr,Oswego (town),180597,"34 Donovan Dr, Oswego (town), New York"
2027 River Rd,Conquest,1,"2027 River Rd, Conquest, New York"
5869 West Lake Rd,Fleming,1,"5869 West Lake Rd, Fleming, New York"
3858 Floridaville Rd,Ira,1,"3858 Floridaville Rd, Ira, New York"
122 Pebblestone Drive,Chittenango,19000,"122 Pebblestone Drive, Chittenango, New York"
 Cleveland Road,Onondaga,75000," Cleveland Road, Onondaga, New York"
128 Roswell Ave,Onondaga,4500,"128 Roswell Ave, Onondaga, New York"
63-65 Orchard St,Auburn,1,"63-65 Orchard St, Auburn, New York"
14300 Craine Rd,Fair Haven,25000,"14300 Craine Rd, Fair Haven, New York"
 Old Orchard Ave,Lenox,40000," Old Orchard Ave, Lenox, New York"
339 Williams St,Oneida (city),13000,"339 Williams St, Oneida (city), New York"
 Smith Ridge Rd.,Sullivan,70000," Smith Ridge Rd., Sullivan, New York"
3880 Hallston Dr,Clay,90000,"3880 Hallston Dr, Clay, New York"
8798 Dell Center Dr,Clay,40000,"8798 Dell Center Dr, Clay, New York"
 Beard Ave,DeWitt,99000," Beard Ave, DeWitt, New York"
104 Rising Crest Cir,Minoa,46000,"104 Rising Crest Cir, Minoa, New York"
,Syracuse,1,
420 Park Ave,Fulton,1000,"420 Park Ave, Fulton, New York"
 Co Rt 7,Oswego (town),0," Co Rt 7, Oswego (town), New York"
58 Daysville Rd,Richland,36000,"58 Daysville Rd, Richland, New York"
 Stanton Rd,Spafford,1," Stanton Rd, Spafford, New York"
306 Elliott St,Syracuse,151,"306 Elliott St, Syracuse, New York"
 Holly Dr,Fulton,0," Holly Dr, Fulton, New York"
448 Harvester Mill Rd,Redfield,1,"448 Harvester Mill Rd, Redfield, New York"
5651 &5653 Davey Rd,Cicero,500000,"5651 &5653 Davey Rd, Cicero, New York"
 Berry Rd,LaFayette,33000," Berry Rd, LaFayette, New York"
 St Rt 3,Sandy Creek (town),17500," St Rt 3, Sandy Creek (town), New York"
4933 West Lake Rd,Fleming,265000,"4933 West Lake Rd, Fleming, New York"
Vac Rosewood Cir,Weedsport,32000,"Vac Rosewood Cir, Weedsport, New York"
229 Canal St,Canastota,0,"229 Canal St, Canastota, New York"
218 James St,Canastota,0,"218 James St, Canastota, New York"
 East Lake Road,De Ruyter0,3300," East Lake Road, De Ruyter0, New York"
 Poolville Rd,Hamilton (town),51000," Poolville Rd, Hamilton (town), New York"
4249 Canal Rd,Lenox,0,"4249 Canal Rd, Lenox, New York"
5505 Vista Way,Camillus (town),52900,"5505 Vista Way, Camillus (town), New York"
5648 River Rock Dr,Elbridge (town),25000,"5648 River Rock Dr, Elbridge (town), New York"
1437 Old Seneca Tpk,Skaneateles (town),450000,"1437 Old Seneca Tpk, Skaneateles (town), New York"
 Co Rt 22,Lacona,12000," Co Rt 22, Lacona, New York"
 Co Rt 35,New Haven,1," Co Rt 35, New Haven, New York"
9011 Kennedy Lane,Sullivan,37000,"9011 Kennedy Lane, Sullivan, New York"
 Broadfield Rd,Pompey,100000," Broadfield Rd, Pompey, New York"
120 Baker Ave,Syracuse,135000,"120 Baker Ave, Syracuse, New York"
 Co Rt 7,Hannibal (town),39900," Co Rt 7, Hannibal (town), New York"
Vac Rosewood Cir,Weedsport,30000,"Vac Rosewood Cir, Weedsport, New York"
4520 Vinegar Hill Rd,Skaneateles (town),27000,"4520 Vinegar Hill Rd, Skaneateles (town), New York"
 St Rt 264,Schroeppel,0," St Rt 264, Schroeppel, New York"
15196 State Rt 104,Sterling,1,"15196 State Rt 104, Sterling, New York"
223 & 225 Irving St / Richmond Rd E,East Syracuse,1,"223 & 225 Irving St / Richmond Rd E, East Syracuse, New York"
125 Wood Avenue,Syracuse,151,"125 Wood Avenue, Syracuse, New York"
50 Taft Bay Rd,Constantia,570000,"50 Taft Bay Rd, Constantia, New York"
432A Fifth St,Oswego (city),0,"432A Fifth St, Oswego (city), New York"
99-101 N Division St,Auburn,1,"99-101 N Division St, Auburn, New York"
Off State Rt 104 A,Sterling,21800,"Off State Rt 104 A, Sterling, New York"
,Syracuse,1,
 Dejohn Dr,Van Buren,0," Dejohn Dr, Van Buren, New York"
6976 Glen Haven Rd,Sempronius,825000,"6976 Glen Haven Rd, Sempronius, New York"
 Center Street Rd,Sennett,10000," Center Street Rd, Sennett, New York"
6831 Holliston Cir,DeWitt,1,"6831 Holliston Cir, DeWitt, New York"
224 Yates St,East Syracuse,1000,"224 Yates St, East Syracuse, New York"
2115 Harkins Lane,Lysander,87000,"2115 Harkins Lane, Lysander, New York"
24 Baker Road,Marcellus (village),94905,"24 Baker Road, Marcellus (village), New York"
1622 Coon Hill Rd,Skaneateles (town),10000,"1622 Coon Hill Rd, Skaneateles (town), New York"
 Co Rt 45,Volney,1500," Co Rt 45, Volney, New York"
 South Street Rd,Fleming,30000," South Street Rd, Fleming, New York"
2705 State Route 370,Ira,1,"2705 State Route 370, Ira, New York"
3476 State Route 90,Ledyard,1,"3476 State Route 90, Ledyard, New York"
7 Baltimore Ridge Road,Marcellus (village),119900,"7 Baltimore Ridge Road, Marcellus (village), New York"
 Pleasant Ave,North Syracuse,600," Pleasant Ave, North Syracuse, New York"
 Gardner Rd,Pompey,1," Gardner Rd, Pompey, New York"
 Kehoe Rd,Sandy Creek (town),9000," Kehoe Rd, Sandy Creek (town), New York"
 Robinson Rd,Throop,1," Robinson Rd, Throop, New York"
9092 Arthur Jenkins Ave,Lenox,10500,"9092 Arthur Jenkins Ave, Lenox, New York"
 Old Orchard Ave,Lenox,0," Old Orchard Ave, Lenox, New York"
8799 Dell Center Dr,Clay,42500,"8799 Dell Center Dr, Clay, New York"
8071 River Rd,Lysander,189610,"8071 River Rd, Lysander, New York"
 Otisco Valley Rd,Otisco,149900," Otisco Valley Rd, Otisco, New York"
 Otisco Valley Rd,Otisco,0," Otisco Valley Rd, Otisco, New York"
103 Florida Rd N,Salina,140000,"103 Florida Rd N, Salina, New York"
696 Fire Lane 5,Genoa,1,"696 Fire Lane 5, Genoa, New York"
1546 Mcfarland Rd,Sterling,249900,"1546 Mcfarland Rd, Sterling, New York"
6381 Finish Line Trl,Cicero,49500,"6381 Finish Line Trl, Cicero, New York"
9 Baltimore Ridge Road,Marcellus (village),109900,"9 Baltimore Ridge Road, Marcellus (village), New York"
117 Maccollum Rd,Elbridge (village),36000,"117 Maccollum Rd, Elbridge (village), New York"
3133 Lake Rd,Skaneateles (town),4600000,"3133 Lake Rd, Skaneateles (town), New York"
 Co Rt 17,Redfield,15000," Co Rt 17, Redfield, New York"
 Black Creek Rd,Clay,112000," Black Creek Rd, Clay, New York"
134 Giddings Trl,Lysander,473305,"134 Giddings Trl, Lysander, New York"
7705 Mocha Bear Path,Lysander,125000,"7705 Mocha Bear Path, Lysander, New York"
4917 Seneca Tpke,Onondaga,84500,"4917 Seneca Tpke, Onondaga, New York"
2381 Lake Rd,Spafford,1,"2381 Lake Rd, Spafford, New York"
 Kibbie Lake Rd,Constantia,20000," Kibbie Lake Rd, Constantia, New York"
 Tannery Ln,Fulton,3000," Tannery Ln, Fulton, New York"
200 Russell Rd,Granby,0,"200 Russell Rd, Granby, New York"
620 Co Rt 27,Redfield,0,"620 Co Rt 27, Redfield, New York"
32 Mill St,Port Byron,60000,"32 Mill St, Port Byron, New York"
354 Washington Ave,Oneida (city),140500,"354 Washington Ave, Oneida (city), New York"
699 Rugby Rd,Sullivan,38625,"699 Rugby Rd, Sullivan, New York"
4774 Cleveland Rd,Onondaga,2000,"4774 Cleveland Rd, Onondaga, New York"
4774 Cleveland Rd,Onondaga,1,"4774 Cleveland Rd, Onondaga, New York"
135 Maxwell Avenue,Syracuse,151,"135 Maxwell Avenue, Syracuse, New York"
 Hog Back Rd,Orwell,65000," Hog Back Rd, Orwell, New York"
28 Wheeler Rd,West Monroe,0,"28 Wheeler Rd, West Monroe, New York"
 Wheeler Rd,West Monroe,0," Wheeler Rd, West Monroe, New York"
 Martin Rd,Cleveland,0," Martin Rd, Cleveland, New York"
 Frederick St,DeWitt,1," Frederick St, DeWitt, New York"
 Lawrence Rd,Camillus (town),35000," Lawrence Rd, Camillus (town), New York"
139 Maxwell Avenue,Syracuse,151,"139 Maxwell Avenue, Syracuse, New York"
 Co Rt 30A,Williamstown,25300," Co Rt 30A, Williamstown, New York"
419 Fire Lane 33,Moravia (town),10000,"419 Fire Lane 33, Moravia (town), New York"
59 Vitale Dr,Auburn,39000,"59 Vitale Dr, Auburn, New York"
61 Vitale Dr,Auburn,39000,"61 Vitale Dr, Auburn, New York"
62 Vitale Drive,Auburn,39000,"62 Vitale Drive, Auburn, New York"
15567 Firelane 1,Sterling,1,"15567 Firelane 1, Sterling, New York"
2351 Turnpike Rd,Throop,324900,"2351 Turnpike Rd, Throop, New York"
4060 Long Hill Rd,Venice,25000,"4060 Long Hill Rd, Venice, New York"
 Briggs Bay Ave,Lenox,14500," Briggs Bay Ave, Lenox, New York"
7396 Lakeshore Rd,Cicero,75000,"7396 Lakeshore Rd, Cicero, New York"
 State Route 31,Clay,900000," State Route 31, Clay, New York"
262 Clinton Rd,Elbridge (town),1,"262 Clinton Rd, Elbridge (town), New York"
24 Dunlap Avenue,Marcellus (village),99900,"24 Dunlap Avenue, Marcellus (village), New York"
20 Baker Road,Marcellus (village),85405,"20 Baker Road, Marcellus (village), New York"
19 Baker Road,Marcellus (village),75905,"19 Baker Road, Marcellus (village), New York"
 Jupiter Inlet Way,Onondaga,65000," Jupiter Inlet Way, Onondaga, New York"
 Salina St,Lacona,5000," Salina St, Lacona, New York"
24 Ninth St,Oswego (city),84900,"24 Ninth St, Oswego (city), New York"
