Address,Municipality,Sale price,merged
4368 State Route 90,Springport,66000,"4368 State Route 90, Springport, New York"
3879 Bonstead Rd,Clay,50000,"3879 Bonstead Rd, Clay, New York"
7764 Longbow Way,Lysander,130000,"7764 Longbow Way, Lysander, New York"
 Co Rt 3,Hannibal (town),10000," Co Rt 3, Hannibal (town), New York"
7714 Fuller Rd,Montezuma,1,"7714 Fuller Rd, Montezuma, New York"
7714 Fuller Rd,Montezuma,1,"7714 Fuller Rd, Montezuma, New York"
3685 Welch Rd,Venice,1,"3685 Welch Rd, Venice, New York"
0 Eaton Road (Vacant),Eaton,0,"0 Eaton Road (Vacant), Eaton, New York"
 Whiting Rd,Van Buren,993," Whiting Rd, Van Buren, New York"
92 Phillips Rd,Granby,35000,"92 Phillips Rd, Granby, New York"
17 S Jefferson St,Mexico (village),500,"17 S Jefferson St, Mexico (village), New York"
 West Lake Rd,Fleming,180000," West Lake Rd, Fleming, New York"
113 Emick Road,Cazenovia (village),55000,"113 Emick Road, Cazenovia (village), New York"
 Main Street Rd,Lenox,0," Main Street Rd, Lenox, New York"
 Camp Rd,Madison (town),0," Camp Rd, Madison (town), New York"
 Jane Ln,Cicero,8221," Jane Ln, Cicero, New York"
6066 Owlwood Dr Rear,Cicero,3961,"6066 Owlwood Dr Rear, Cicero, New York"
6068 Owlwood Dr Rear,Cicero,3307,"6068 Owlwood Dr Rear, Cicero, New York"
 Brewerton Rd,Cicero,1989," Brewerton Rd, Cicero, New York"
 Tuttle Rd,Cicero,1259," Tuttle Rd, Cicero, New York"
3864 Hallston Dr,Clay,45000,"3864 Hallston Dr, Clay, New York"
 State Route 31 Rr,Elbridge (town),4642," State Route 31 Rr, Elbridge (town), New York"
 Richmond Rd,Manlius (town),5744," Richmond Rd, Manlius (town), New York"
 Kirkville Rd,Manlius (town),2700," Kirkville Rd, Manlius (town), New York"
 Minoa Rd,Manlius (town),2600," Minoa Rd, Manlius (town), New York"
 Kirkville Rd,Manlius (town),2145," Kirkville Rd, Manlius (town), New York"
 Minoa Rd,Manlius (town),1666," Minoa Rd, Manlius (town), New York"
 Richmond Rd,Manlius (town),1497," Richmond Rd, Manlius (town), New York"
12 Clairborn Ct,Minoa,65000,"12 Clairborn Ct, Minoa, New York"
 Tenderfoot Trail Off,Onondaga,10396," Tenderfoot Trail Off, Onondaga, New York"
 Rockwell Rd,Onondaga,6378," Rockwell Rd, Onondaga, New York"
 Salina St,Onondaga,3620," Salina St, Onondaga, New York"
 Beef St,Onondaga,1341," Beef St, Onondaga, New York"
3847 Rockefeller Rd,Niles,1400000,"3847 Rockefeller Rd, Niles, New York"
6402 Town Hall Rd,Owasco,1,"6402 Town Hall Rd, Owasco, New York"
6402 Town Hall Rd,Owasco,1,"6402 Town Hall Rd, Owasco, New York"
9649 Kenzie Grace Path,Clay,73000,"9649 Kenzie Grace Path, Clay, New York"
1396 Route 80,Otisco,0,"1396 Route 80, Otisco, New York"
68 Hardwicke Dr,Solvay,1,"68 Hardwicke Dr, Solvay, New York"
417 Dewport Rd,Van Buren,102500,"417 Dewport Rd, Van Buren, New York"
 Co Rt 13,Boylston,50400," Co Rt 13, Boylston, New York"
 Camic Rd,West Monroe,0," Camic Rd, West Monroe, New York"
317 Tuttle Ave,Canastota,25900,"317 Tuttle Ave, Canastota, New York"
453 New Boston,Canastota,1,"453 New Boston, Canastota, New York"
16307 Irwin Rd,Sterling,1,"16307 Irwin Rd, Sterling, New York"
 Cannonball Way,Manlius (town),1," Cannonball Way, Manlius (town), New York"
4925 Cook Rd,Otisco,0,"4925 Cook Rd, Otisco, New York"
 Oran Eagle Village Rd,Pompey,15000," Oran Eagle Village Rd, Pompey, New York"
143 A Liberty St,Oswego (city),950,"143 A Liberty St, Oswego (city), New York"
161 Liberty St,Oswego (city),930,"161 Liberty St, Oswego (city), New York"
Off Co Rt 47,Redfield,5027,"Off Co Rt 47, Redfield, New York"
 Rainbow Shores Rd,Sandy Creek (town),1690," Rainbow Shores Rd, Sandy Creek (town), New York"
 River Rd,Aurelius,60000," River Rd, Aurelius, New York"
5684 Stockbridge Falls Road,Stockbridge,50000,"5684 Stockbridge Falls Road, Stockbridge, New York"
316 Manlius St,East Syracuse,1,"316 Manlius St, East Syracuse, New York"
3452R Van Wie East,Lysander,0,"3452R Van Wie East, Lysander, New York"
4580 Kingsley Rd,Otisco,175000,"4580 Kingsley Rd, Otisco, New York"
 Tuttle Ave,Canastota,15000," Tuttle Ave, Canastota, New York"
4365 State Route 31,Clay,1,"4365 State Route 31, Clay, New York"
7780 Longbow Way,Lysander,130000,"7780 Longbow Way, Lysander, New York"
147 Giddings Trail,Lysander,54000,"147 Giddings Trail, Lysander, New York"
208 Oakridge Terr,Salina,270900,"208 Oakridge Terr, Salina, New York"
125 Nelson St,Syracuse,90,"125 Nelson St, Syracuse, New York"
1608-10 State St S,Syracuse,84,"1608-10 State St S, Syracuse, New York"
2510 Erieville Road,Nelson,43500,"2510 Erieville Road, Nelson, New York"
 Brewerton Rd,Cicero,110," Brewerton Rd, Cicero, New York"
 Tuttle Rd,Cicero,100," Tuttle Rd, Cicero, New York"
6066 Owlwood Dr Rear,Cicero,25,"6066 Owlwood Dr Rear, Cicero, New York"
6068 Owlwood Dr Rear,Cicero,25,"6068 Owlwood Dr Rear, Cicero, New York"
 Jane Ln,Cicero,20," Jane Ln, Cicero, New York"
 Cross Rd,DeWitt,4577," Cross Rd, DeWitt, New York"
 Maconi Ave,DeWitt,4249," Maconi Ave, DeWitt, New York"
 Maconi Ave,DeWitt,3500," Maconi Ave, DeWitt, New York"
 Frederick St,DeWitt,3471," Frederick St, DeWitt, New York"
 James St,DeWitt,2900," James St, DeWitt, New York"
 Maconi Ave,DeWitt,2400," Maconi Ave, DeWitt, New York"
 James St,DeWitt,1932," James St, DeWitt, New York"
 Maconi Ave,DeWitt,1675," Maconi Ave, DeWitt, New York"
 Tucker Ave,DeWitt,1675," Tucker Ave, DeWitt, New York"
 Maconi Ave,DeWitt,1355," Maconi Ave, DeWitt, New York"
 Maconi Ave,DeWitt,1054," Maconi Ave, DeWitt, New York"
 Frederick St,DeWitt,800," Frederick St, DeWitt, New York"
 Maconi Ave,DeWitt,600," Maconi Ave, DeWitt, New York"
 Tucker Ave,DeWitt,600," Tucker Ave, DeWitt, New York"
 Maconi Ave,DeWitt,600," Maconi Ave, DeWitt, New York"
 Cross Rd,DeWitt,100," Cross Rd, DeWitt, New York"
 Towpath W,Elbridge (town),2800," Towpath W, Elbridge (town), New York"
 Towpath W,Elbridge (town),2200," Towpath W, Elbridge (town), New York"
 State Route 31 Rr,Elbridge (town),275," State Route 31 Rr, Elbridge (town), New York"
 Toggenburg Rd,Fabius (town),5200," Toggenburg Rd, Fabius (town), New York"
123 Argyle Ave,Geddes,11013,"123 Argyle Ave, Geddes, New York"
900 State Fair Blvd,Geddes,6200,"900 State Fair Blvd, Geddes, New York"
115 Helmi Dr Rear,Geddes,3848,"115 Helmi Dr Rear, Geddes, New York"
900 State Fair Blvd,Geddes,990,"900 State Fair Blvd, Geddes, New York"
115 Helmi Dr Rear,Geddes,300,"115 Helmi Dr Rear, Geddes, New York"
123 Argyle Ave,Geddes,200,"123 Argyle Ave, Geddes, New York"
3547 Hayes Rd,Lysander,8000,"3547 Hayes Rd, Lysander, New York"
7330-35 Klines Island,Lysander,4000,"7330-35 Klines Island, Lysander, New York"
 Richmond Rd W,Manlius (town),5500," Richmond Rd W, Manlius (town), New York"
 Wells Ave,North Syracuse,4282," Wells Ave, North Syracuse, New York"
 Rockwell Rd,Onondaga,5000," Rockwell Rd, Onondaga, New York"
 Dutton Ave,Onondaga,2050," Dutton Ave, Onondaga, New York"
 Dutton Ave,Onondaga,1900," Dutton Ave, Onondaga, New York"
 Salina St,Onondaga,1600," Salina St, Onondaga, New York"
 Tenderfoot Trail Off,Onondaga,200," Tenderfoot Trail Off, Onondaga, New York"
 Beef St,Onondaga,45," Beef St, Onondaga, New York"
 Michael Ave,Pompey,1400," Michael Ave, Pompey, New York"
 Off Michael Ave,Pompey,1200," Off Michael Ave, Pompey, New York"
304 Molloy Rd E,Salina,175000,"304 Molloy Rd E, Salina, New York"
189-191 Beechwood Ave,Salina,25000,"189-191 Beechwood Ave, Salina, New York"
 Cold Springs Rd,Salina,7000," Cold Springs Rd, Salina, New York"
 Cold Springs Rd,Salina,6878," Cold Springs Rd, Salina, New York"
 Schaffer Ave,Salina,1700," Schaffer Ave, Salina, New York"
 Snyder Ave,Salina,1100," Snyder Ave, Salina, New York"
 Snyder Ave,Salina,800," Snyder Ave, Salina, New York"
 Woods Path Rd,Salina,500," Woods Path Rd, Salina, New York"
261 Leighton Ave,Salina,200,"261 Leighton Ave, Salina, New York"
516 Woods Rd,Solvay,7853,"516 Woods Rd, Solvay, New York"
212 Lamont Ave,Solvay,4795,"212 Lamont Ave, Solvay, New York"
516 Woods Rd,Solvay,4200,"516 Woods Rd, Solvay, New York"
1983 Milton Ave,Solvay,4169,"1983 Milton Ave, Solvay, New York"
212 Lamont Ave,Solvay,3500,"212 Lamont Ave, Solvay, New York"
1983 Milton Ave,Solvay,3100,"1983 Milton Ave, Solvay, New York"
110 Hatherleigh Rd Rear,Solvay,1235,"110 Hatherleigh Rd Rear, Solvay, New York"
110 Hatherleigh Rd Rear,Solvay,25,"110 Hatherleigh Rd Rear, Solvay, New York"
 Whiting Rd,Van Buren,650," Whiting Rd, Van Buren, New York"
118 Nicholsville Rd,Constantia,59995,"118 Nicholsville Rd, Constantia, New York"
4551 Twelve Corners Rd,Niles,1,"4551 Twelve Corners Rd, Niles, New York"
Lot #20 Off Irwin Rd,Sterling,35000,"Lot #20 Off Irwin Rd, Sterling, New York"
3430 Tall Tree Ln,Lysander,90000,"3430 Tall Tree Ln, Lysander, New York"
8069 Forest Ridge Lane,Lysander,50000,"8069 Forest Ridge Lane, Lysander, New York"
131 Caroline Ave,Solvay,55000,"131 Caroline Ave, Solvay, New York"
